,mapping_framework,mapping_framework_version,capability_group,capability_id,capability_description,mapping_type,attack_object_id,attack_object_name,attack_version,technology_domain,score_category,score_value,related_score,references,comments,organization,creation_date,last_update
0,nist_800_53,rev5,,,,non_mappable,T1496.002,Bandwidth Hijacking,16.1,enterprise,,,,[],no mitiigations in att&ck,,01/13/2022,04/16/2025
1,nist_800_53,rev5,,,,non_mappable,T1496.004,Cloud Service Hijacking,16.1,enterprise,,,,[],no mitiigations in att&ck,,01/13/2022,04/16/2025
2,nist_800_53,rev5,,,,non_mappable,T1546.017,Udev Rules,16.1,enterprise,,,,[],No mitigations,,01/13/2022,04/16/2025
3,nist_800_53,rev5,,,,non_mappable,T1650,Acquire Access,16.1,enterprise,,,,[],,,01/13/2022,04/16/2025
4,nist_800_53,rev5,,,,non_mappable,T1566.004,Spearphishing Voice,16.1,enterprise,,,,[],,,01/13/2022,04/16/2025
5,nist_800_53,rev5,,,,non_mappable,T1583.001,Domains,16.1,enterprise,,,,[],,,01/13/2022,04/16/2025
6,nist_800_53,rev5,,,,non_mappable,T1583.002,DNS Server,16.1,enterprise,,,,[],,,01/13/2022,04/16/2025
7,nist_800_53,rev5,,,,non_mappable,T1583.003,Virtual Private Server,16.1,enterprise,,,,[],,,01/13/2022,04/16/2025
8,nist_800_53,rev5,,,,non_mappable,T1583.004,Server,16.1,enterprise,,,,[],,,01/13/2022,04/16/2025
9,nist_800_53,rev5,,,,non_mappable,T1583.005,Botnet,16.1,enterprise,,,,[],,,01/13/2022,04/16/2025
10,nist_800_53,rev5,,,,non_mappable,T1583.006,Web Services,16.1,enterprise,,,,[],,,01/13/2022,04/16/2025
11,nist_800_53,rev5,,,,non_mappable,T1583.007,Serverless,16.1,enterprise,,,,[],,,01/13/2022,04/16/2025
12,nist_800_53,rev5,,,,non_mappable,T1583.008,Malvertising,16.1,enterprise,,,,[],,,01/13/2022,04/16/2025
13,nist_800_53,rev5,,,,non_mappable,T1584,Compromise Infrastructure,16.1,enterprise,,,,[],,,01/13/2022,04/16/2025
14,nist_800_53,rev5,,,,non_mappable,T1584.001,Domains,16.1,enterprise,,,,[],,,01/13/2022,04/16/2025
15,nist_800_53,rev5,,,,non_mappable,T1584.002,DNS Server,16.1,enterprise,,,,[],,,01/13/2022,04/16/2025
16,nist_800_53,rev5,,,,non_mappable,T1584.003,Virtual Private Server,16.1,enterprise,,,,[],,,01/13/2022,04/16/2025
17,nist_800_53,rev5,,,,non_mappable,T1584.004,Server,16.1,enterprise,,,,[],,,01/13/2022,04/16/2025
18,nist_800_53,rev5,,,,non_mappable,T1584.005,Botnet,16.1,enterprise,,,,[],,,01/13/2022,04/16/2025
19,nist_800_53,rev5,,,,non_mappable,T1584.006,Web Services,16.1,enterprise,,,,[],,,01/13/2022,04/16/2025
20,nist_800_53,rev5,,,,non_mappable,T1584.007,Serverless,16.1,enterprise,,,,[],,,01/13/2022,04/16/2025
21,nist_800_53,rev5,,,,non_mappable,T1584.008,Network Devices,16.1,enterprise,,,,[],,,01/13/2022,04/16/2025
22,nist_800_53,rev5,,,,non_mappable,T1585,Establish Accounts,16.1,enterprise,,,,[],,,01/13/2022,04/16/2025
23,nist_800_53,rev5,,,,non_mappable,T1585.001,Social Media Accounts,16.1,enterprise,,,,[],,,01/13/2022,04/16/2025
24,nist_800_53,rev5,,,,non_mappable,T1585.002,Email Accounts,16.1,enterprise,,,,[],,,01/13/2022,04/16/2025
25,nist_800_53,rev5,,,,non_mappable,T1585.003,Cloud Accounts,16.1,enterprise,,,,[],,,01/13/2022,04/16/2025
26,nist_800_53,rev5,,,,non_mappable,T1586,Compromise Accounts,16.1,enterprise,,,,[],,,01/13/2022,04/16/2025
27,nist_800_53,rev5,,,,non_mappable,T1586.001,Social Media Accounts,16.1,enterprise,,,,[],,,01/13/2022,04/16/2025
28,nist_800_53,rev5,,,,non_mappable,T1588,Obtain Capabilities,16.1,enterprise,,,,[],,,01/13/2022,04/16/2025
29,nist_800_53,rev5,,,,non_mappable,T1588.001,Malware,16.1,enterprise,,,,[],,,01/13/2022,04/16/2025
30,nist_800_53,rev5,,,,non_mappable,T1589,Gather Victim Identity Information,16.1,enterprise,,,,[],,,01/13/2022,04/16/2025
31,nist_800_53,rev5,,,,non_mappable,T1589.001,Credentials,16.1,enterprise,,,,[],,,01/13/2022,04/16/2025
32,nist_800_53,rev5,,,,non_mappable,T1589.002,Email Addresses,16.1,enterprise,,,,[],,,01/13/2022,04/16/2025
33,nist_800_53,rev5,,,,non_mappable,T1589.003,Employee Names,16.1,enterprise,,,,[],,,01/13/2022,04/16/2025
34,nist_800_53,rev5,,,,non_mappable,T1590,Gather Victim Network Information,16.1,enterprise,,,,[],,,01/13/2022,04/16/2025
35,nist_800_53,rev5,,,,non_mappable,T1590.001,Domain Properties,16.1,enterprise,,,,[],,,01/13/2022,04/16/2025
36,nist_800_53,rev5,,,,non_mappable,T1590.003,Network Trust Dependencies,16.1,enterprise,,,,[],,,01/13/2022,04/16/2025
37,nist_800_53,rev5,,,,non_mappable,T1590.004,Network Topology,16.1,enterprise,,,,[],,,01/13/2022,04/16/2025
38,nist_800_53,rev5,,,,non_mappable,T1590.005,IP Addresses,16.1,enterprise,,,,[],,,01/13/2022,04/16/2025
39,nist_800_53,rev5,,,,non_mappable,T1590.006,Network Security Appliances,16.1,enterprise,,,,[],,,01/13/2022,04/16/2025
40,nist_800_53,rev5,,,,non_mappable,T1591,Gather Victim Org Information,16.1,enterprise,,,,[],,,01/13/2022,04/16/2025
41,nist_800_53,rev5,,,,non_mappable,T1591.001,Determine Physical Locations,16.1,enterprise,,,,[],,,01/13/2022,04/16/2025
